,user_id
438,1515915625452688640
439,1515915625452784384
440,1515915625445425152
441,1515915625444755456
442,1515915625451455744
443,1515915625452793600
444,1515915625448117248
445,1515915625444994048
446,1515915625442694144
447,1515915625441889280
448,1515915625452802560
449,1515915625441055744
450,1515915625452807936
451,1515915625445719552
452,1515915625452681216
453,1515915625451980800
454,1515915625443630592
455,1515915625450942976
456,1515915625452818432
457,1515915625452815616
458,1515915625447943680
459,1515915625452822016
460,1515915625452828160
461,1515915625452833536
462,1515915625442421248
463,1515915625442152448
464,1515915625449571328
465,1515915625452802048
466,1515915625452836352
467,1515915625446699520
468,1515915625452848384
469,1515915625452809216
470,1515915625452840448
471,1515915625451645440
472,1515915625442996736
473,1515915625452856320
474,1515915625452848896
475,1515915625452122880
476,1515915625445297920
477,1515915625445871104
478,1515915625441444096
479,1515915625452851200
480,1515915625452867584
481,1515915625452863488
482,1515915625446621696
483,1515915625441203456
484,1515915625442144768
485,1515915625444775936
486,1515915625452883968
487,1515915625445715456
488,1515915625447906560
489,1515915625444211456
490,1515915625452888320
491,1515915625452055040
492,1515915625442032384
493,1515915625452673280
494,1515915625452896256
495,1515915625450329856
496,1515915625451912960
497,1515915625452510208
498,1515915625450376960
499,1515915625452925184
500,1515915625442337024
501,1515915625452935168
502,1515915625452140800
503,1515915625452318720
504,1515915625452939264
505,1515915625452815360
506,1515915625448892160
507,1515915625441464320
508,1515915625453016064
509,1515915625452804864
510,1515915625442981120
511,1515915625441681920
512,1515915625452608512
513,1515915625449780480
514,1515915625453015040
515,1515915625452813056
516,1515915625444720384
517,1515915625453031424
518,1515915625451009024
519,1515915625441267456
520,1515915625445818880
521,1515915625449326592
522,1515915625450574848
523,1515915625451978752
524,1515915625448841216
525,1515915625452852736
526,1515915625453045760
527,1515915625453046272
528,1515915625452683264
529,1515915625446023424
530,1515915625453041664
531,1515915625453047296
532,1515915625453047808
533,1515915625452684800
534,1515915625453052928
535,1515915625450886656
536,1515915625453054720
537,1515915625445952256
538,1515915625446712064
539,1515915625453059840
540,1515915625450938880
541,1515915625442007296
542,1515915625453064960
543,1515915625475259392
544,1515915625441630464
545,1515915625443941120
546,1515915625453066496
547,1515915625449654784
548,1515915625453065728
549,1515915625442141184
550,1515915625453064192
551,1515915625448220160
552,1515915625452646400
553,1515915625453070080
554,1515915625453071872
555,1515915625446185472
556,1515915625452741632
557,1515915625452567296
558,1515915625450635520
559,1515915625452816640
560,1515915625452308992
561,1515915625446479360
562,1515915625441849344
563,1515915625445512192
564,1515915625446733056
565,1515915625453048832
566,1515915625453077760
567,1515915625453073920
568,1515915625443057920
569,1515915625452704768
570,1515915625446744320
571,1515915625443707904
572,1515915625453086720
573,1515915625453085184
574,1515915625453086464
575,1515915625453089536
576,1515915625453090816
577,1515915625449996544
578,1515915625453089792
579,1515915625448414720
580,1515915625444170752
581,1515915625444774144
582,1515915625441190400
583,1515915625453091584
584,1515915625452042240
585,1515915625453096960
586,1515915625452672256
587,1515915625445506304
588,1515915625445650432
589,1515915625443555584
590,1515915625453099520
591,1515915625453013504
592,1515915625441929984
593,1515915625442950400
594,1515915625453069312
595,1515915625452840960
596,1515915625453090560
597,1515915625453102336
598,1515915625453102080
599,1515915625451045120
600,1515915625453088000
601,1515915625453094144
602,1515915625453081344
603,1515915625450649344
604,1515915625451778048
605,1515915625453113856
606,1515915625448860416
607,1515915625453119488
608,1515915625453113600
609,1515915625446129152
610,1515915625453098240
611,1515915625453068288
612,1515915625452124160
613,1515915625443586560
614,1515915625453119744
615,1515915625453065984
616,1515915625443858944
617,1515915625451172352
618,1515915625446404864
619,1515915625453127680
620,1515915625452513792
621,1515915625443616256
622,1515915625451048960
623,1515915625445112320
624,1515915625441440000
625,1515915625453131520
626,1515915625448741376
627,1515915625445385984
628,1515915625453133824
629,1515915625453070848
630,1515915625453137920
631,1515915625453130240
632,1515915625453137408
633,1515915625452731392
634,1515915625449869312
635,1515915625451100672
636,1515915625453117440
637,1515915625446217984
638,1515915625453030912
639,1515915625442064384
640,1515915625445165568
641,1515915625444715520
642,1515915625445079040
643,1515915625446262272
644,1515915625453143552
645,1515915625453153792
646,1515915625453100544
647,1515915625453136640
648,1515915625451001344
649,1515915625446552064
650,1515915625453145344
651,1515915625448055040
652,1515915625441309440
653,1515915625443527680
654,1515915625449795584
655,1515915625448859648
656,1515915625453159424
657,1515915625448839168
658,1515915625452143616
659,1515915625453109760
660,1515915625453101056
661,1515915625450211840
662,1515915625451678976
663,1515915625453166592
664,1515915625450085888
665,1515915625440980480
666,1515915625453145088
667,1515915625453170176
668,1515915625453172480
669,1515915625448236544
670,1515915625442935808
671,1515915625449840384
672,1515915625442640384
673,1515915625447606016
674,1515915625443610112
675,1515915625440966144
676,1515915625441560320
677,1515915625444721664
678,1515915625453175808
679,1515915625453182976
680,1515915625451009536
681,1515915625453181184
682,1515915625440957952
683,1515915625452481280
684,1515915625453103616
685,1515915625452066560
686,1515915625442684416
687,1515915625453101568
688,1515915625442571520
689,1515915625443528704
690,1515915625444941312
691,1515915625452774656
692,1515915625453187072
693,1515915625441524736
694,1515915625450536448
695,1515915625453191680
696,1515915625441889024
697,1515915625452845568
698,1515915625448632832
699,1515915625453200384
700,1515915625453183488
701,1515915625453176576
702,1515915625452728320
703,1515915625452678656
704,1515915625444119040
705,1515915625452281600
706,1515915625453097472
707,1515915625452909056
708,1515915625453149184
709,1515915625452111872
710,1515915625444292864
711,1515915625448058624
712,1515915625443703808
713,1515915625453194496
714,1515915625441490944
715,1515915625440990464
716,1515915625445971456
717,1515915625449964032
718,1515915625449827840
719,1515915625445622016
720,1515915625443918080
721,1515915625452098048
722,1515915625453227520
723,1515915625453099264
724,1515915625453228032
725,1515915625453209088
726,1515915625446190592
727,1515915625452321280
728,1515915625452276224
729,1515915625452930560
730,1515915625449155584
731,1515915625453105664
732,1515915625448822272
733,1515915625452156416
734,1515915625442055424
735,1515915625451590400
736,1515915625451059456
737,1515915625449982464
738,1515915625441861376
739,1515915625453234688
740,1515915625450445056
741,1515915625449589760
742,1515915625447798272
743,1515915625453037568
744,1515915625443159040
745,1515915625453247488
746,1515915625453247744
747,1515915625453239040
748,1515915625453138944
749,1515915625441305856
750,1515915625453230592
751,1515915625451635200
752,1515915625453245696
753,1515915625442325760
754,1515915625449860864
755,1515915625449753088
756,1515915625453258752
757,1515915625443644416
758,1515915625448324864
759,1515915625453264640
760,1515915625453263872
761,1515915625442139136
762,1515915625453267968
763,1515915625441871616
764,1515915625452933632
765,1515915625453266944
766,1515915625453272320
767,1515915625441293056
768,1515915625453237760
769,1515915625451603968
770,1515915625453274112
771,1515915625453124864
772,1515915625453277440
773,1515915625453268480
774,1515915625450625280
775,1515915625453278208
776,1515915625452720384
777,1515915625453280256
778,1515915625499656192
779,1515915625453288960
780,1515915625443340544
781,1515915625452589568
782,1515915625453235456
783,1515915625452030464
784,1515915625453294080
785,1515915625446948864
786,1515915625442114816
787,1515915625453287424
788,1515915625453296384
789,1515915625453223936
790,1515915625453259520
791,1515915625449268480
792,1515915625441858816
793,1515915625450563584
794,1515915625444525056
795,1515915625448288256
796,1515915625444384000
797,1515915625453307392
798,1515915625452530176
799,1515915625444228608
800,1515915625453302272
801,1515915625453250560
802,1515915625449505792
803,1515915625441049088
804,1515915625453327872
805,1515915625453324544
806,1515915625453327616
807,1515915625449991168
808,1515915625453319936
809,1515915625453329664
810,1515915625453335040
811,1515915625453326848
812,1515915625441349632
