,product_id
740,5894924
741,5699800
742,5803696
743,5820751
744,5829375
745,5654961
746,5696867
747,5803684
748,5614833
749,5773372
750,5848192
751,5745355
752,5838656
753,5908215
754,5714118
755,5894923
756,5825016
757,5650431
758,5773369
759,5859205
760,5800963
761,5902887
762,5864544
763,5800966
764,5813493
765,5800788
766,5800965
767,5661295
768,5810144
769,5814831
770,5830219
771,5899929
772,5829309
773,5792824
774,5820721
775,5754149
776,5899845
777,5661285
778,5857313
779,5757293
780,5839313
781,5691024
782,5881423
783,5899834
784,5845343
785,5838240
786,5846839
787,5846830
788,5811771
789,5842840
790,5896788
791,5570742
792,5864585
793,5773603
794,59892
795,5864578
796,5868410
797,5773604
798,5877795
799,5834733
800,5698887
801,5864584
802,5773608
803,5865798
804,5841722
805,5561052
806,5904491
807,5899841
808,5899833
809,5773609
810,5755162
811,5899930
812,5770388
813,5839314
814,5805751
815,5817926
816,5809826
817,5759347
818,5853709
819,5698879
820,5651977
821,5683738
822,5828210
823,5897541
824,5854371
825,5775987
826,5875389
827,5859189
828,5664658
829,5853128
830,5853127
831,5802446
832,5689712
833,5834752
834,5838225
835,5798930
836,5853121
837,5706478
838,5905193
839,5896421
840,8381
841,5853120
842,37987
843,5825927
844,5825926
845,5906539
846,5825919
847,5843366
848,5906114
849,5807855
850,5812925
851,5881774
852,5817885
853,5817893
854,5844894
855,5734280
856,5824741
857,36237
858,5881775
859,5698326
860,5817888
861,5824241
862,5824746
863,5864775
864,5854846
865,5694172
866,5817892
867,5836815
868,5824248
869,5877191
870,5875372
871,5902176
872,5841322
873,5687481
874,5836309
875,5157
876,5850311
877,7681
878,5742325
879,5875383
880,31522
881,5683351
882,5822293
883,5708154
884,5713017
885,5687136
886,5730190
887,5731077
888,5622678
889,5731076
890,5875386
891,72422
892,5875387
893,5900295
894,5852389
895,5823538
896,5713014
897,5806550
898,5731469
899,5806553
900,5832470
901,5828610
902,5875394
903,5041
904,5731458
905,5747150
906,5823630
907,5587652
908,5747146
909,5835769
910,5587658
911,5806548
912,5875396
913,5806922
914,5824555
915,5877002
916,5747147
917,5843372
918,5804185
919,5804184
920,5875402
921,5824246
922,5824552
923,5618277
924,5850009
925,5813417
926,5850008
927,5849993
928,5818482
929,5841728
930,5841719
931,5747366
932,5902674
933,5762501
934,5882788
935,5875415
936,5747362
937,5747369
938,5820746
939,59984
940,5729864
941,5842740
942,7680
943,59979
944,5875425
945,5730189
946,5813486
947,5824840
948,5847577
949,36406
950,5896429
951,5831969
952,5802406
953,5875750
954,5828680
955,5818355
956,5723494
957,5787167
958,5846106
959,5875773
960,5775512
961,5875774
962,5668418
963,5826197
